Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
Sung Cleaners,,1635,South Street,"Philadelphia, PA 19146",,,,,Dry Cleaner / Laundromat,,,,,,,,1635 South Street,19146,philadelphia,PA
South Street Parking Garage,,1700,South Street,"Philadelphia, PA 19146",,,,,Parking,,,,,,,,1700 South Street,19146,philadelphia,PA
Pennmark Pharmacy,,1735,South Street,"Philadelphia, PA 19146",,,,,Pharmacy / Medical,,,,,,,,1735 South Street,19146,philadelphia,PA
Dog School,,1737,South Street,"Philadelphia, PA 19146",,,,,Pet Services,,,,,,,,1737 South Street,19146,philadelphia,PA
Fresenius Medical Care,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Center City Pediatrics,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Center City Oral & Maxillofacial Surgery,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
PHA Adult Medicine,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Center City Cleanse,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
City Ophthalmology,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Grays Ferry Medical Center,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
Dr. Leonard Rosenfeld & Associates,,1740,South Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,1740 South Street,19146,philadelphia,PA
