"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH",,701,"S 22nd Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"701 S 22nd Street",19146,philadelphia,PA,39.94455,-75.178765,1,range_interpolation,701,"S 22nd St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Ready to Hand",,731,"S 22nd Street","Philadelphia, PA 19146",,,,,"Services (Weaving)",,,,,,,,"731 S 22nd Street",19146,philadelphia,PA,39.943511,-75.178746,1,rooftop,731,"S 22nd St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Julian Abele Park",,917,"S 22nd Street","Philadelphia, PA 19146",,,,,"Park / Recreation",,,,,,,,"917 S 22nd Street",19146,philadelphia,PA,39.941087,-75.179323,1,range_interpolation,917,"S 22nd St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Unleashed by Petco",,520,"S 23rd Street","Philadelphia, PA 19146",,,,,"Pet Services",,,,,,,,"520 S 23rd Street",19146,philadelphia,PA,39.945927,-75.17976,1,range_interpolation,520,"S 23rd St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Church of God & Saints-Christ (First Tabernacle)",,602,"S Broad Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"602 S Broad Street",19146,philadelphia,PA,39.943635,-75.16573,1,range_interpolation,602,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Mark D. Hauser",,620,"S Broad Street","Philadelphia, PA 19146",,,,,Lawyer,,,,,,,,"620 S Broad Street",19146,philadelphia,PA,39.943093,-75.165907,1,rooftop,620,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Avenue of the Arts Dental",,624,"S Broad Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"624 S Broad Street",19146,philadelphia,PA,39.943207,-75.165823,1,range_interpolation,624,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"United Check Cashing",,628,"S Broad Street","Philadelphia, PA 19146",,,,,"Services (Money Cashing)",,,,,,,,"628 S Broad Street",19146,philadelphia,PA,39.942917,-75.165985,1,rooftop,628,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Printed Image Gallery",,728,"S Broad Street","Philadelphia, PA 19146",,,,,"Art gallery",,,,,,,,"728 S Broad Street",19146,philadelphia,PA,39.942082,-75.166058,1,range_interpolation,728,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Keller Williams",,728,"S Broad Street","Philadelphia, PA 19146",,,,,"Real Estate",,,,,,,,"728 S Broad Street",19146,philadelphia,PA,39.942082,-75.166058,1,range_interpolation,728,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Brandywine Workshop",,730,"S Broad Street","Philadelphia, PA 19146",,,,,"Art gallery",,,,,,,,"730 S Broad Street",19146,philadelphia,PA,39.942176,-75.166133,1,rooftop,730,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Skai Blue Media",,732,"S Broad Street","Philadelphia, PA 19146",,,,,"Services (PR)",,,,,,,,"732 S Broad Street",19146,philadelphia,PA,39.941964,-75.16608,1,range_interpolation,732,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"TINDLEY TEMPLE UNITED METHODIST CHURCH",,750,"S Broad Street","Philadelphia, PA 19146",,,,,"House of worship",,,,,,,,"750 S Broad Street",19146,philadelphia,PA,39.941642,-75.166168,1,range_interpolation,750,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"EARLY CHILDHOOD ENVIRONMENTS DESIGN",,762,"S Broad Street","Philadelphia, PA 19146",,,,,"Child Care",,,,,,,,"762 S Broad Street",19146,philadelphia,PA,39.941441,-75.166201,1,range_interpolation,762,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"TINDLEY TEMPLE",,762,"S Broad Street","Philadelphia, PA 19146",,,,,"House of worship",,,,,,,,"762 S Broad Street",19146,philadelphia,PA,39.941441,-75.166201,1,range_interpolation,762,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Circle Mission Church Home",,772,"S Broad Street","Philadelphia, PA 19146",,,,,"House of worship",,,,,,,,"772 S Broad Street",19146,philadelphia,PA,39.941273,-75.166229,1,range_interpolation,772,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Your Other Hands Nanny Service",,714,"S Colorado Street","Philadelphia, PA 19146",,,,,"Services (Day Care)",,,,,,,,"714 S Colorado Street",19146,philadelphia,PA,39.94289,-75.171463,1,rooftop,714,"S Colorado St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Street Bridge Window Tinting",,613,"Schuylkill Avenue","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"613 Schuylkill Avenue",19146,philadelphia,PA,39.94561,-75.184908,1,rooftop,613,"Schuylkill Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Street Parking",,1418,"South Street","Philadelphia, PA 19146",,,,,Parking,,,,,,,,"1418 South Street",19146,philadelphia,PA,39.943511,-75.166303,1,rooftop,1418,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"E Z PARKS INC",,1441,"South Street","Philadelphia, PA 19146",,,,,Parking,,,,,,,,"1441 South Street",19146,philadelphia,PA,39.943887,-75.166055,1,range_interpolation,1441,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Tara Management Services",,1502,"South Street","Philadelphia, PA 19146",,,,,"Real Estate",,,,,,,,"1502 South Street",19146,philadelphia,PA,39.943703,-75.167231,1,range_interpolation,1502,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Campbell Thomas & Company",,1504,"South Street","Philadelphia, PA 19146",,,,,"Architects / Designers",,,,,,,,"1504 South Street",19146,philadelphia,PA,39.943659,-75.167494,1,rooftop,1504,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Eastern Service Workers Association",,1518,"South Street","Philadelphia, PA 19146",,,,,"Trade Association",,,,,,,,"1518 South Street",19146,philadelphia,PA,39.943779,-75.167905,1,rooftop,1518,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Street Sounds",,1531,"South Street","Philadelphia, PA 19146",,,,,"Recording Studio",,,,,,,,"1531 South Street",19146,philadelphia,PA,39.944163,-75.16815,1,rooftop,1531,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Richardson Alarm Services",,1535,"South Street","Philadelphia, PA 19146",,,,,"Service (Alarm)",,,,,,,,"1535 South Street",19146,philadelphia,PA,39.944177,-75.168261,1,rooftop,1535,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"State Farm - Judd Greenburg",,1546,"South Street","Philadelphia, PA 19146",,,,,Insurance,,,,,,,,"1546 South Street",19146,philadelphia,PA,39.943897,-75.16869,1,rooftop,1546,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Keeler William - Geddes Team Realty",,1610,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"1610 South Street",19146,philadelphia,PA,39.943923,-75.169216,1,rooftop,1610,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"North of No. South Laundromat",,1611,"South Street","Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,"1611 South Street",19146,philadelphia,PA,39.944295,-75.169233,1,rooftop,1611,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Western Community Day Care Center",,1613,"South Street","Philadelphia, PA 19146",,,,,"School / Educational / Day Care",,,,,,,,"1613 South Street",19146,philadelphia,PA,39.944222,-75.168886,1,range_interpolation,1613,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Sung Cleaners",,1635,"South Street","Philadelphia, PA 19146",,,,,"Dry Cleaner / Laundromat",,,,,,,,"1635 South Street",19146,philadelphia,PA,39.944386,-75.169966,1,rooftop,1635,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Street Parking Garage",,1700,"South Street","Philadelphia, PA 19146",,,,,Parking,,,,,,,,"1700 South Street",19146,philadelphia,PA,39.944095,-75.171031,1,rooftop,1700,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Pennmark Pharmacy",,1735,"South Street","Philadelphia, PA 19146",,,,,"Pharmacy / Medical",,,,,,,,"1735 South Street",19146,philadelphia,PA,39.944517,-75.171467,1,rooftop,1735,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Dog School",,1737,"South Street","Philadelphia, PA 19146",,,,,"Pet Services",,,,,,,,"1737 South Street",19146,philadelphia,PA,39.944577,-75.171516,1,rooftop,1737,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Fresenius Medical Care",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Center City Pediatrics",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Center City Oral & Maxillofacial Surgery",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"PHA Adult Medicine",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Center City Cleanse",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"City Ophthalmology",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Grays Ferry Medical Center",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Dr. Leonard Rosenfeld & Associates",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Walters Counseling",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Advanced Arm Dynamics",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Center for Foot and Ankle Disorders",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Grand and Verdi Acupuncture & Herbs",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Pennsylvania Medical Group",,1740,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Medical Center Pharmacy",,1740,"South Street","Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,"1740 South Street",19146,philadelphia,PA,39.944171,-75.171721,1,rooftop,1740,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"WALGREEN EASTERN CO INC",,1800,"South Street","Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,"1800 South Street",19146,philadelphia,PA,39.944247,-75.172275,1,rooftop,1800,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
